,Base_Project,Status/ImmPort Study ID,Base_Project.1,PMID,PMID_N,Publication_Title,Journal,Author(s),Pub Date,PI
10,U01CA260476,,CA260476,33564763,PMID_33564763,Collaboration between the Fab and Fc contribute to maximal protection against SARS-CoV-2 in nonhuman primates following NVX-CoV2373 subunit vaccine with Matrix-M™ vaccination,bioRxiv : the preprint server for biology,"Matthew J Gorman, Nita Patel, Mimi Guebre-Xabier, Alex Zhu, Caroline Atyeo, Krista M Pullen, Carolin Loos, Yenny Goez-Gazi, Ricardo Carrion Jr, Jing-Hui Tian, Dansu Yaun, Kathryn Bowman, Bin Zhou, Sonia Maciejewski, Marisa E McGrath, James Logue, Matthew B Frieman, David Montefiori, Colin Mann, Sharon Schendel, Fatima Amanat, Florian Krammer, Erica Ollmann Saphire, Douglas Lauffenburger, Ann M Greene, Alyse D Portnoff, Michael J Massare, Larry Ellingsworth, Gregory Glenn, Gale Smith, Galit Alter",2021-02-05,
11,U54CA260543,,CA260543,33564775,PMID_33564775,Sex disparities and neutralizing antibody durability to SARS-CoV-2 infection in convalescent individuals,medRxiv : the preprint server for health sciences,"Alena J Markmann, Natasa Giallourou, D Ryan Bhowmik, Yixuan J Hou, Aaron Lerner, David R Martinez, Lakshmanane Premkumar, Heather Root, David van Duin, Sonia Napravnik, Stephen D Graham, Quique Guerra, Rajendra Raut, Christos J Petropoulos, Terri Wrin, Caleb Cornaby, John Schmitz, JoAnn Kuruc, Susan Weiss, Yara Park, Ralph Baric, Aravinda M de Silva, David M Margolis, Luther A Bartelt",2021-02-03,
12,U01CA261277,,CA261277,33564784,PMID_33564784,GPS-estimated foot traffic data and venue selection for COVID-19 serosurveillance studies,medRxiv : the preprint server for health sciences,"Tyler S Brown, Pablo Martinez de Salazar Munoz, Abhishek Bhatia, Bridget Bunda, Ellen K Williams, David Bor, James S Miller, Amir Mohareb, Vivek Naranbai, Wilfredo Garcia Beltran, Tyler E Miller, Julia Thierauf, Wenxin Yang, Doug Kress, Kristen Stelljes, Keith Johnson, Daniel B Larremore, Jochen Lennerz, A John Iafrate, Satchit Balsari, Caroline O Buckee, Yonatan H Grad",2021-02-05,
13,,,,33564793,PMID_33564793,Longitudinal Metabolomics of Human Plasma Reveals Robust Prognostic Markers of COVID-19 Disease Severity,medRxiv : the preprint server for health sciences,"Miriam Sindelar, Ethan Stancliffe, Michaela Schwaiger-Haber, Dhanalakshmi S Anbukumar, Randy A Albrecht, Wen-Chun Liu, Kayla Adkins Travis, Adolfo García-Sastre, Leah P Shriver, Gary J Patti",2021-02-08,
14,U54CA260517,,CA260517,33594362,PMID_33594362,"Integrated plasma proteomic and single-cell immune signaling network signatures demarcate mild, moderate, and severe COVID-19",bioRxiv : the preprint server for biology,"Dorien Feyaerts, Julien Hedou, Joshua Gillard, Han Chen, Eileen S Tsai, Laura S Peterson, Kazuo Ando, Monali Manohar, Evan Do, Gopal K R Dhondalay, Jessica Fitzpatrick, Maja Artandi, Iris Chang, Theo T Snow, R Sharon Chinthrajah, Christopher M Warren, Rich Wittman, Justin G Meyerowitz, Edward A Ganio, Ina A Stelzer, Xiaoyuan Han, Franck Verdonk, Dyani K Gaudilliere, Nilanjan Mukherjee, Amy S Tsai, Kristen K Rumer, Sizun J Jiang, Sergio I Valdes-Ferrer, J Daniel Kelly, David Furman, Nima Aghaeepour, Martin S Angst, Scott D Boyd, Benjamin A Pinsky, Garry P Nolan, Kari C Nadeau, Brice Gaudilliere, David R McIlwain",2021-02-10,
15,U01CA260476,,CA260476,33619473,PMID_33619473,Collaboration between the Fab and Fc contribute to maximal protection against SARS-CoV-2 following NVX-CoV2373 subunit vaccine with Matrix-M™ vaccination,Research square,"Galit Alter, Matthew Gorman, Nita Patel, Mimi Guebre-Xabier, Alex Zhu, Caroline Atyeo, Krista Pullen, Carolin Loos, Yenny Goez-Gazi, Ricardo Carrion Jr, Jing-Hui Tian, Dansu Yuan, Kathryn Bowman, Bin Zhou, Sonia Maciejewski, Marisa McGrath, James Logue, Matthew Frieman, David Montefiori, Sharon Schendel, Erica Ollmann Saphire, Douglas Lauffenburger, Ann Greene, Alyse Portnoff, Michael Massare, Larry Ellingsworth, Gregory Glenn, Gale Smith, Colin Mann, Fatima Amanat, Florian Krammer",2021-02-15,
16,,,CA260462,33622794,PMID_33622794,Virological Characteristics of Hospitalized Children With SARS-CoV-2 Infection,Pediatrics,"Swetha G Pinninti, Sunil Pati, Claudette Poole, Misty Latting, Maria C Seleme, April Yarbrough, Nitin Arora, William J Britt, Suresh Boppana",2021-05,
17,U01CA261277,,CA261277,33655276,PMID_33655276,Interpreting vaccine efficacy trial results for infection and transmission,medRxiv : the preprint server for health sciences,"Marc Lipsitch, Rebecca Kahn",2021-05-27,
18,U54CA260591,,CA260591,33655279,PMID_33655279,Prior COVID-19 Infection and Antibody Response to Single Versus Double Dose mRNA SARS-CoV-2 Vaccination,medRxiv : the preprint server for health sciences,"Joseph E Ebinger, Justyna Fert-Bober, Ignat Printsev, Min Wu, Nancy Sun, Jane C Figueiredo, Jennifer E Van Eyk, Jonathan G Braun, Susan Cheng, Kimia Sobhani",2021-02-26,
19,U01CA260541,,CA260541,33688655,PMID_33688655,SARS-CoV-2 D614G Variant Exhibits Enhanced Replication ex vivo and Earlier Transmission in vivo,bioRxiv : the preprint server for biology,"Alison Tarke, John Sidney, Nils Methot, Yun Zhang, Jennifer M Dan, Benjamin Goodwin, Paul Rubiro, Aaron Sutherland, Ricardo da Silva Antunes, April Frazier, Stephen A Rawlings, Davey M Smith, Bjoern Peters, Richard H Scheuermann, Daniela Weiskopf, Shane Crotty, Alba Grifoni, Alessandro Sette",2021-03-01,
20,U01CA261277,,CA261277,33688668,PMID_33688668,Mathematical modeling to inform vaccination strategies and testing approaches for COVID-19 in nursing homes,medRxiv : the preprint server for health sciences,"Rebecca Kahn, Inga Holmdahl, Sujan Reddy, John Jernigan, Michael J Mina, Rachel B Slayton",2021-03-01,
21,U54CA260543,,CA260543,33758837,PMID_33758837,SARS-CoV-2 D614G Variant Exhibits Enhanced Replication ex vivo and Earlier Transmission in vivo,bioRxiv : the preprint server for biology,"David R Martinez, Alexandra Schäfer, Sarah R Leist, Gabriela De la Cruz, Ande West, Elena N Atochina-Vasserman, Lisa C Lindesmith, Norbert Pardi, Robert Parks, Maggie Barr, Dapeng Li, Boyd Yount, Kevin O Saunders, Drew Weissman, Barton F Haynes, Stephanie A Montgomery, Ralph S Baric",2021-05-11,
22,U01CA260476,,CA260476,33758875,PMID_33758875,Functional Antibodies in COVID-19 Convalescent Plasma,medRxiv : the preprint server for health sciences,"Jonathan D Herman, Chuangqi Wang, Carolin Loos, Hyunah Yoon, Johanna Rivera, M Eugenia Dieterle, Denise Haslwanter, Rohit K Jangra, Robert H Bortz, Katharine J Bar, Boris Julg, Kartik Chandran, Douglas Lauffenburger, Liise-Anne Pirofski, Galit Alter",2021-03-11,
23,U01CA260539,,CA260539,33791727,PMID_33791727,Reduced BNT162b2 mRNA vaccine response in SARS-CoV-2-naive nursing home residents,medRxiv : the preprint server for health sciences,"David H Canaday, Lenore Carias, Oladayo A Oyebanji, Debbie Keresztesy, Dennis Wilk, Michael Payne, Htin Aung, Kerri St Denis, Evan C Lam, Brigid Wilson, Christopher F Rowley, Sarah D Berry, Cheryl M Cameron, Mark J Cameron, Alejandro B Balazs, Stefan Gravenstein, Christopher L King",2021-03-22,
24,U01CA261277,,CA261277,33791743,PMID_33791743,Disparities in SARS-CoV-2 seroprevalence among individuals presenting for care in central North Carolina over a six-month period,medRxiv : the preprint server for health sciences,"Cesar A Lopez, Clark H Cunningham, Sierra Pugh, Katerina Brandt, Usaphea P Vanna, Matthew J Delacruz, Quique Guerra, Samuel Jacob Goldstein, Yixuan Jacob Hou, Margaret Gearhart, Christine Wiethorn, Candace Pope, Carolyn Amditis, Kathryn Pruitt, Cinthia Newberry-Dillon, John Schmitz, Lakshmanane Premkumar, Adaora A Adimora, Michael Emch, Ross Boyce, Allison E Aiello, Bailey K Fosdick, Daniel B Larremore, Aravinda M de Silva, Jonathan J J Juliano, Alena J Markmann",2021-03-30,
25,,,,33948590,PMID_33948590,"A broadly neutralizing antibody protects against SARS-CoV, pre-emergent bat CoVs, and SARS-CoV-2 variants in mice",bioRxiv : the preprint server for biology,"David R Martinez, Alexandra Schaefer, Sophie Gobeil, Dapeng Li, Gabriela De la Cruz, Robert Parks, Xiaozhi Lu, Maggie Barr, Kartik Manne, Katayoun Mansouri, Robert J Edwards, Boyd Yount, Kara Anasti, Stephanie A Montgomery, Shaunna Shen, Tongqing Zhou, Peter D Kwong, Barney S Graham, John R Mascola, David C Montefiori, Munir Alam, Gregory D Sempowski, Kevin Wiehe, Kevin O Saunders, Priyamvada Acharya, Barton F Haynes, Ralph S Baric",2021-04-28,
26,U54CA260563,,CA260563,33948610,PMID_33948610,Longitudinal analysis shows durable and broad immune memory after SARS-CoV-2 infection with persisting antibody responses and memory B and T cells,medRxiv : the preprint server for health sciences,"Kristen W Cohen, Susanne L Linderman, Zoe Moodie, Julie Czartoski, Lilin Lai, Grace Mantus, Carson Norwood, Lindsay E Nyhoff, Venkata Viswanadh Edara, Katharine Floyd, Stephen C De Rosa, Hasan Ahmed, Rachael Whaley, Shivan N Patel, Brittany Prigmore, Maria P Lemos, Carl W Davis, Sarah Furth, ""James OKeefe"", Mohini P Gharpure, Sivaram Gunisetty, Kathy A Stephens, Rustom Antia, Veronika I Zarnitsyna, David S Stephens, Srilatha Edupuganti, Nadine Rouphael, Evan J Anderson, Aneesh K Mehta, Jens Wrammert, Mehul S Suthar, Rafi Ahmed, M Juliana McElrath",2021-06-18,
27,U01CA260476,,CA260476,34013263,PMID_34013263,Early cross-coronavirus reactive signatures of protective humoral immunity against COVID-19,bioRxiv : the preprint server for biology,"Paulina Kaplonek, Chuangqi Wang, Yannic Bartsch, Stephanie Fischinger, Matthew J Gorman, Kathryn Bowman, Jaewon Kang, Diana Dayal, Patrick Martin, Radoslaw Nowak, Ching-Lin Hsieh, Jared Feldman, Boris Julg, Eric J Nilles, Elon R Musk, Anil S Menon, Eric S Fischer, Jason S McLellan, Aaron Schmidt, Marcia B Goldberg, Michael Filbin, Nir Hacohen, Douglas A Lauffenburger, Galit Alter",2021-05-12,
28,,,CA260563,34096051,PMID_34096051,Immune responses and therapeutic challenges in paediatric patients with new-onset acute myeloid leukaemia and concomitant COVID-19,British journal of haematology,"Pratik A Patel, Stacey A Lapp, Gabrielle Grubbs, Venkata V Edara, Christina A Rostad, Claire L Stokes, Melinda G Pauly, Evan J Anderson, Anne Piantadosi, Mehul S Suthar, Surender Khurana, Himalee S Sabnis",2021-08,
29,U54CA260582,,CA260582,34100011,PMID_34100011,SARS-CoV-2 Spreads through Cell-to-Cell Transmission,bioRxiv : the preprint server for biology,"Cong Zeng, John P Evans, Tiffany King, Yi-Min Zheng, Eugene M Oltz, Sean P J Whelan, Linda Saif, Mark E Peeples, Shan-Lu Liu",2021-06-01,
30,U01CA260541,,CA260541,34100029,PMID_34100029,Function is more reliable than quantity to follow up the humoral response to the Receptor Binding Domain of SARS- CoV-2 Spike protein after natural infection or COVID-19 vaccination,medRxiv : the preprint server for health sciences,"Carlos A Sariol, Petraleigh Pantoja, Crisanta Serrano-Collazo, Tiffany Rosa-Arocho, Albersy Armina, Lorna Cruz, E Taylor Stone, Teresa Arana, Consuelo Climent, Gerardo Latoni, Dianne Atehortua, Christina Pabon-Carrero, Amelia K Pinto, James D Brien, Ana M Espino",2021-08-10,
31,,,,34127972,PMID_34127972,Evolution of enhanced innate immune evasion by the SARS-CoV-2 B.1.1.7 UK variant,bioRxiv : the preprint server for biology,"Lucy G Thorne, Mehdi Bouhaddou, Ann-Kathrin Reuschl, Lorena Zuliani-Alvarez, Ben Polacco, Adrian Pelin, Jyoti Batra, Matthew V X Whelan, Manisha Ummadi, Ajda Rojc, Jane Turner, Kirsten Obernier, Hannes Braberg, Margaret Soucheray, Alicia Richards, Kuei-Ho Chen, Bhavya Harjai, Danish Memon, Myra Hosmillo, Joseph Hiatt, Aminu Jahun, Ian G Goodfellow, Jacqueline M Fabius, Kevan Shokat, Natalia Jura, Klim Verba, Mahdad Noursadeghi, Pedro Beltrao, Danielle L Swaney, Adolfo Garcia-Sastre, Clare Jolly, Greg J Towers, Nevan J Krogan",2021-06-07,
32,,,,34159331,PMID_34159331,Phosphatidylserine Receptors Enhance SARS-CoV-2 Infection: AXL as a Therapeutic Target for COVID-19,bioRxiv : the preprint server for biology,"Dana Bohan, Hanora Van Ert, Natalie Ruggio, Kai J Rogers, Mohammad Badreddine, José A Aguilar Briseño, Roberth Anthony Rojas Chavez, Boning Gao, Tomasz Stokowy, Eleni Christakou, David Micklem, Gro Gausdal, Hillel Haim, John Minna, James B Lorens, Wendy Maury",2021-06-24,
33,U54CA260543,,CA260543,34159335,PMID_34159335,Protective efficacy of rhesus adenovirus COVID-19 vaccines against mouse-adapted SARS-CoV-2,bioRxiv : the preprint server for biology,"Lisa H Tostanoski, Lisa E Gralinski, David R Martinez, Alexandra Schaefer, Shant H Mahrokhian, Zhenfeng Li, Felix Nampanya, Huahua Wan, Jingyou Yu, Aiquan Chang, Jinyan Liu, Katherine McMahan, Kenneth H Dinnon, Sarah R Leist, Ralph S Baric, Dan H Barouch",2021-06-15,
34,U01CA261277,,CA261277,34212161,PMID_34212161,Comparative performance of between-population allocation strategies for SARS-CoV-2 vaccines,medRxiv : the preprint server for health sciences,"Keya Joshi, Eva Rumpler, Lee Kennedy-Shaffer, Rafia Bosan, Marc Lipsitch",2021-06-21,
35,,,CA260541,34452006,PMID_34452006,Single-Dose Intranasal Administration of AdCOVID Elicits Systemic and Mucosal Immunity against SARS-CoV-2 and Fully Protects Mice from Lethal Challenge,Vaccines,"R Glenn King, Aaron Silva-Sanchez, Jessica N Peel, Davide Botta, Alexandria M Dickson, Amelia K Pinto, Selene Meza-Perez, S Rameeza Allie, Michael D Schultz, Mingyong Liu, John E Bradley, Shihong Qiu, Guang Yang, Fen Zhou, Esther Zumaquero, Thomas S Simpler, Betty Mousseau, John T Killian Jr, Brittany Dean, Qiao Shang, Jennifer L Tipper, Christopher A Risley, Kevin S Harrod, Tsungwei Feng, Young Lee, Bethlehem Shiberu, Vyjayanthi Krishnan, Isabelle Peguillet, Jianfeng Zhang, Todd J Green, Troy D Randall, John J Suschak, Bertrand Georges, James D Brien, Frances E Lund, M Scot Roberts",2021-08-09,
36,U01CA260476,,CA260476,34494026,PMID_34494026,Subtle immunological differences in mRNA-1273 and BNT162b2 COVID-19 vaccine induced Fc-functional profiles,bioRxiv : the preprint server for biology,"Paulina Kaplonek, Deniz Cizmeci, Stephanie Fischinger, Ai-Ris Collier, Todd Suscovich, Caitlyn Linde, Thomas Broge, Colin Mann, Fatima Amanat, Diana Dayal, Justin Rhee, Michael de St Aubin, Eric J Nilles, Elon R Musk, Anil S Menon, Erica Ollmann Saphire, Florian Krammer, Douglas A Lauffenburger, Dan H Barouch, Galit Alter",2021-08-31,
