PMID,File Name,Description,File type
34383889,PMID34383889_v1.2.5.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors.,Study Summary Description
34383889,PMID34383889_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
35576468,PMID35576468_sapp.pdf,Supplemetary Data,Study Data
35576468,PMID35576468_PNAS_AABS_Manry_data-sharing_final.xlsx,Demographics and SARS-CoV-2 infection fatality rates,Assessment Results
35576468,PMID35576468_v1.2.4.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors. ,Study Summary Description
35576468,PMID35576468_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
34150933,PMID34150933_SDS-PAGE-01.jpg,SDS-PAGE analysis of purified spike RBD proteins,Study Data
34150933,PMID34150933_v1.2.5.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors. ,Study Summary Description
34150933,PMID34150933_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
34250518,PMID34250518_Lancet RegHealth.xlsx,Demographics and N-gene Ct values of infected HCW,Demographics
34250518,PMID34250518_mmc1.docx,Demographic and clinical characteristics of infected HCW,Demographics
34250518,PMID34250518_v1.2.5.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors. ,Study Summary Description
34250518,PMID34250518_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
35839768,PMID35839768_mmc1.pdf,Supplemetary data,Study Data
35839768,PMID35839768_mmc2.xlsx,Supplemetary data,Study Data
35839768,PMID35839768_mmc3.xlsx,Antigens,Study Data
35839768,PMID35839768_mmc4.xlsx,Correlation of sMERTK levels and available markers of monocyte activation,Assessment Results
35839768,PMID35839768_Correlation_matrix.csv,Spearman Correlation Matrix,Assessment Results
35839768,PMID35839768_CyTOF_FrequencySignaling_preprocessed.csv,CyTOF Frequency Signaling,Assessment Results
35839768,PMID35839768_Olink_NPXvalues.csv,Olink NPX values,Assessment Results
35839768,PMID35839768_PatientCharacteristics.csv,Patient characteristics,Demographics
35839768,PMID35839768_Penalization_matrix.xlsx,Penalization matrix,Assessment Results
35839768,PMID35839768_v1.2.5.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors. ,Study Summary Description
35839768,PMID35839768_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
34320281,PMID34320281_NEJMoa2109072_appendix.pdf,Supplementary data,Study data
34320281,PMID34320281_NEJM.xlsx,Demographics and Neutralization titer values,Demographics
34320281,PMID34320281_v1.2.5.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors. ,Study Summary Description
34320281,PMID34320281_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
35090596,PMID35090596_mmc1.pdf,Supplementary data and figures,Study Data
35090596,PMID35090596_Narowski_etal_CellReports_2022_1.xlsx,"Experiment values for ELISA, Neutralizing Antibody Titer Assay and Multiplex Immunoassay",Assessment Results
35090596,PMID35090596_Narowski_etal_CellReports_2022_2.xlsx,Subject demographics,Demographics
35090596,PMID35090596_Narowski_etal_CellReports_2022_3.xls,Vaacine symptoms in subjects,Adverse Events
35090596,PMID35090596_v1.2.5.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors.,Study Summary Description
35090596,PMID35090596_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
34308390,PMID34308390_mmc1.pdf,Supplemental information,Study Data
35881005,PMID35881005_science.abp8337_sm.pdf,"Materials and Methods, Figures S1 to S31, Tables S1 to S15 and References 67 – 110",Study Data
35881005,PMID35881005_science.abp8337_sm_data_s1.tsv,Data figure S1,Study Data
35881005,PMID35881005_science.abp8337_sm_data_s2.tsv,Data figure S2,Study Data
35881005,PMID35881005_science.abp8337_sm_data_s3.xlsx,Data figure S3,Study Data
35881005,PMID35881005_v1.2.5.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,Study Summary Description
35881005,PMID35881005_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
34546094,PMID34546094_All Data_04-21-22.xlsx,Subject level data supporting figures in the publication,Study data
34546094,PMID34546094_NIHMS1757749-supplement-Supplemental_Figures.docx,Supplementary Figures S1 through S11,Study data
34546094,PMID34546094_v1.2.5.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,Study Summary Description
34546094,PMID34546094_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
35756977,PMID35756977_mmc1.docx,"Severe clinical outcomes and characteristics of persons hospitalized after SARS-CoV-2 infection in Northern California during Omicron SARS-CoV-2 variant (December 18, 2021-January 7, 2022) and Delta SARS-CoV-2 variant (July 5, 2021-November 30, 2021) transmission",Study Data
35756977,PMID35756977_Omicron_manuscript_220928_Tables.docx,"Severe clinical outcomes and characteristics of persons hospitalized after SARS-CoV-2 infection in Northern California during Omicron SARS-CoV-2 variant (December 18, 2021-January 7, 2022) and Delta SARS-CoV-2 variant (July 5, 2021-November 30, 2021) transmission",Study Data
35756977,PMID35756977_v1.2.6.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors. ,Study Summary Description
35756977,PMID35756977_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
35284808,PMID35284808_mmc1.docx,Supplementary Data,Study Data
35284808,PMID35284808_mmc2.pdf,"Figure 2, fiugre 3, figure 4 and figure S1",Interventions
35284808,PMID35284808-data.xlsx,"Demographics, ELISA, Pseudovirus Neutralization Assay and ELISPOT assessment values",Assessment Results
35284808,PMID35284808_v1.2.5.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors. ,Study Summary Description
35284808,PMID35284808_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
34669512,PMID34669512_jvi.01063-21-s0001.pdf,Supplementary Information and Summary Demographics,Study Data
36058184,PMID36058184_mmc1.pdf,"Additional theory, supplementary figures, and sensitivity analyses.",Study Data
36058184,PMID36058184_v1.2.6.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors. ,Study Summary Description
36058184,PMID36058184_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
35390296,PMID35390296_mmc1.pdf,Supplementary data,Study Data
35390296,PMID35390296_Data.xlsx,Participants demographics and experimental values,Assessment Results
35390296,PMID35390296_v1.2.4.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors. ,Study Summary Description
35390296,PMID35390296_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
35932763,PMID35932763_mmc1.pdf,Supplementary material and figures,Study Data
35932763,PMID35932763_CCC_ICS.xlsx,Intra cellular staining (ICS) T cell assay values,Assessment Results
35932763,PMID35932763_SeroNet-HCoV-serology-data-Sep22-2022.xlsx,ELISA assay values-Serology data,Assessment Results
35932763,PMID35932763_Copy of CCC_AIM.xlsx,Activation induced cell marker (AIM) T cell assay values and demographic data,Assessment Results
35932763,PMID35932763_v1.2.5.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors. ,Study Summary Description
35932763,PMID35932763_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
33688034,PMID33688034_pnas.2026153118.sapp.pdf,Supplementary data,Study Data
33688034,PMID33688034_v1.2.5.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,Study Summary Description
33688034,PMID33688034_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
35704428,PMID35704428_nejmc2206725_appendix.pdf,"Supplementary Table S1, Figures S1, S2, S3 ",Study Data
35704428,PMID35704428_data.xlsx,data supporting publication,Study Data
35704428,PMID35704428_v1.2.4.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,Study Summary Description
35704428,PMID35704428_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
35061630,PMID35061630_jci-132-156083-s058.pdf,Supplemental figures,Study Data
35061630,PMID35061630_fig 1.B.csv,Figure 1B raw data,Study Data
35061630,PMID35061630_fig 1.C.csv,Figure 1C raw data,Study Data
35061630,PMID35061630_fig 1.E.csv,Figure 1E raw data,Study Data
35061630,PMID35061630_fig 1.F.csv,Figure 1F raw data,Study Data
35061630,PMID35061630_supp fig 1.A.csv,Supporting Figure 1A raw data,Study Data
35061630,PMID35061630_supp fig 1.B.csv,upporting Figure 1B raw data,Study Data
35061630,PMID35061630_supp fig 1.C.csv,upporting Figure 1C raw data,Study Data
35061630,PMID35061630_supp fig 1.D.csv,upporting Figure 1D raw data,Study Data
35061630,PMID35061630_supp fig 1.E.csv,upporting Figure 1E raw data,Study Data
35061630,PMID35061630_supp fig 1.F.csv,upporting Figure 1F raw data,Study Data
35061630,PMID35061630_fig 2.csv,Figure 2 raw data,Study Data
35061630,PMID35061630_fig 3.A and supp fig 3.A.xlsx,Figure 3A and supporting Figure 3A raw data,Study Data
35061630,PMID35061630_fig 3.B and supp fig 2.B  3.B.xlsx,"Figure 3B, supporting Figure 2B, and supporting figure 3B raw data",Study Data
35061630,PMID35061630_fig 3.C and supp fig 2.A  3.C.xlsx,"Figure 3C, supporting Figure 2A, and supporting figure 3C raw data",Study Data
35061630,PMID35061630_v1.2.3.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,Study Summary Description
35061630,PMID35061630_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
35085183,PMID35085183_sdc1.pdf,Supplementary data,Study Data
35085183,PMID35085183_data.xlsx,Demographic data and Cytokine data,Demographics
35085183,PMID35085183_v1.2.4.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,Study Summary Description
35085183,PMID35085183_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
