,User Defined ID,Name,Order Number,Min Start Day,Max Start Day,Start Rule
63,PMID34951746_assessment_recorded_pv,Visit where an assessment is recorded,3,0,,
64,PMID37264688_visit-01,Serum or plasma samples collected 0-2 months post-infection,1,0,60,
65,PMID37264688_visit-02,Serum or plasma samples collected 1 months after second dose of vaccination,2,0,30,
66,PMID37264688_visit-03,Serum or plasma samples collected 4 months after second dose of vaccination,3,90,120,
67,PMID37264688_assessment_recorded_pv,Visit where an assessment is recorded,4,0,,
68,PMID34862384_visit-01,Bone marrow-derived mast cells collected from mice.,1,0,,
69,PMID34862384_visit-02,Basophils collected from human donors.,2,0,,
70,PMID36597886_visit-01,Blood samples were collected from all the participants.,1,0,,
71,PMID36597886_visit-02,Sample collected from COVID-19 patients and individuals before 2019.,2,0,,
72,PMID36597886_assessment_recorded_pv,Visit where an assessment is recorded,3,0,,
73,PMID35102312_visit-01,Sample collected from vaccinated participants.,1,0,,
74,PMID35102312_assessment_recorded_pv,Visit where an assessment is recorded,2,0,,
75,PMID36208629_visit-01,Blood draw on day 0,1,0,0,
76,PMID36208629_visit-02,Blood draw form 8 healthy controls.,2,0,0,
77,PMID36208629_visit-03,Blood draw on day 3,3,3,3,
78,PMID36208629_visit-04,Blood draw on day 7,4,7,7,
79,PMID36208629_visit-05,Blood draw on day 28,5,28,28,
80,PMID36208629_assessment_recorded_pv,Visit where an assessment is recorded,6,0,,
81,PMID37863065_visit-01,Blood samples were collected at enrollment of the lung cancer patients.,1,0,,
82,PMID37863065_visit-02,Blood samples were collected every 3-month follow-up intervals in a sequential manner.,2,90,,
83,PMID37863065_visit-03,Mean follow-up visit was 1.25±0.51 years.,3,468,,
84,PMID37863065_assessment_recorded_pv,Visit where an assessment is recorded,4,0,,
85,PMID36192374_visit-01,Serum was collected from all hamsters.,1,0,,
86,PMID36192374_visit-02,"On day 0, Hamsters were challenged with SARS-CoV-2 by the intranasal.",2,0,,
87,PMID36192374_visit-03,On day 1 post-challenge hamsters were treated with 5mg/kg of monoclonal antibodies.,3,1,,
88,PMID36192374_visit-04,Mice were euthanized and lung tissue was harvested 48 hours post-infection.,4,2,,
89,PMID36192374_visit-05,Lungs were harvested for euthanized hamsters at day 3 post-challenge (dpc).,5,3,,
90,PMID37695910_visit-01,Vero E6 cells and HEK293F- hACE2 cells infected with SARS-CoV-2 variants.,1,0,,
