,User Defined ID,Brief Title,Official Title,Brief Description,Description,Intervention Agent,Endpoints,Sponsoring Organization,Age Unit,Actual Start Date,Hypothesis,Objectives,Target Enrollment,Minimum Age,Maximum Age
10,PMID33822097_study-01,Differential T-Cell Reactivity to Endemic Coronaviruses and SARS-CoV-2 in Community and Health Care Workers,Differential T-Cell Reactivity to Endemic Coronaviruses and SARS-CoV-2 in Community and Health Care Workers,To study the differences in T-cell immune response and preexisting immunity to the common cold coronaviruses and SARS-CoV-2 in community and in health care workers (HCW).,"Herein we measured CD4+ T-cell responses against common cold coronaviruses (CCC) and severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in high-risk health care workers (HCW) and community controls. We observed higher levels of CCC-reactive T cells in SARS-CoV-2-seronegative HCW compared to community donors, consistent with potential higher occupational exposure of HCW to CCC. We further show that SARS-CoV-2 T-cell reactivity of seronegative HCW was higher than community controls and correlation between CCC and SARS-CoV-2 responses is consistent with cross-reactivity and not associated with recent in vivo activation. Surprisingly, CCC T-cell reactivity was decreased in SARS-CoV-2-infected HCW, suggesting that exposure to SARS-CoV-2 might interfere with CCC responses, either directly or indirectly. This result was unexpected, but consistently detected in independent cohorts derived from Miami and San Diego. CD4+ T-cell responses against common cold coronaviruses (CCC) are elevated in SARS-CoV-2 seronegative high-risk health care workers (HCW) compared to COVID-19 convalescent HCW, suggesting that exposure to SARS-CoV-2 might interfere with CCC responses and/or cross-reactivity associated with a protective effect",,Coronaviruses | SARS-CoV-2 | health care workers | COVID-19 | T cells | Activation-induced cell marker (AIM) assays,La Jolla Institute of Immunology,Years,01-Mar-2020,T-cell reactivity to common corona viruses and to SARS-CoV-2,Clinical Research,116,20,72
11,PMID36480499_study-01,Evaluation of a COVID-19 convalescent plasma program at a U.S. academic medical center,Evaluation of a COVID-19 convalescent plasma program at a U.S. academic medical center,"To evaluate the reach, effectiveness, adoption, implementation, and Maintenance (RE-AIM) framework of a local CCP program at a large U.S. academic medical center, the University of North Carolina Medical Center","Amidst the therapeutic void at the onset of the COVID-19 pandemic, a critical mass of scientific and clinical interest coalesced around COVID-19 convalescent plasma (CCP). To date, the CCP literature has focused largely on safety and efficacy outcomes, but little on implementation outcomes or experience. Expert opinion suggests that if CCP has a role in COVID-19 treatment, it is early in the disease course, and it must deliver a sufficiently high titer of neutralizing antibodies (nAb). Missing in the literature are comprehensive evaluations of how local CCP programs were implemented as part of pandemic preparedness and response, including considerations of the core components and personnel required to meet demand with adequately qualified CCP in a timely and sustained manner. To address this gap, we conducted an evaluation of a local CCP program at a large U.S. academic medical center, the University of North Carolina Medical Center (UNCMC), and patterned our evaluation around the dimensions of the Reach, Effectiveness, Adoption, Implementation, and Maintenance (RE-AIM) framework to systematically describe key implementation-relevant metrics. We aligned our evaluation with program goals of reaching the target population with severe or critical COVID-19, integrating into the structure of the hospital-wide pandemic response, adapting to shifting landscapes, and sustaining the program over time during a compassionate use expanded access program (EAP) era and a randomized controlled trial (RCT) era. During the EAP era, the UNCMC CCP program was associated with faster CCP infusion after admission compared with contemporaneous affiliate hospitals without a local program: median 29.6 hours (interquartile range, IQR: 21.2-48.1) for the UNCMC CCP program versus 47.6 hours (IQR 32.6-71.6) for affiliate hospitals; (P<0.0001). Sixty-eight of 87 CCP recipients in the EAP (78.2%) received CCP containing the FDA recommended minimum nAb titer of ≥1:160. CCP delivery to hospitalized patients operated with equal efficiency regardless of receiving treatment via a RCT or a compassionate-use mechanism. It was found that in a highly resourced academic medical center, rapid implementation of a local CCP collection, treatment, and clinical trial program could be achieved through re-deployment of highly trained laboratory and clinical personnel. These data provide important pragmatic considerations critical for health systems considering the use of CCP as part of an integrated pandemic response.",,Academic Medical Centers | Antibodies | Neutralizing | COVID-19 epidemiology | COVID-19 therapy | Humans | Pandemics | Plasma,University of North Carolina Medical Center,Years,11-Apr-2020,Time to treatment ,Clinical Research,526,18,80
12,PMID33798476_study-01,Pregnancy alters interleukin-1 beta expression and antiviral antibody responses during severe acute respiratory syndrome coronavirus 2 infection,Pregnancy alters interleukin-1 beta expression and antiviral antibody responses during severe acute respiratory syndrome coronavirus 2 infection,To assess the impact of SARS-CoV-2 infection during pregnancy on inflammatory and humoral responses in maternal and fetal samples and compare antibody responses among pregnant and nonpregnant women.,"Background: Severe acute respiratory syndrome coronavirus 2, the disease-causing pathogen of the coronavirus disease 2019 pandemic, has resulted in morbidity and mortality worldwide. Pregnant women are more susceptible to severe coronavirus disease 2019 and are at higher risk of preterm birth than uninfected pregnant women. Despite this evidence, the immunologic effects of severe acute respiratory syndrome coronavirus 2 infection during pregnancy remain understudied. Objective: This study aimed to assess the impact of severe acute respiratory syndrome coronavirus 2 infection during pregnancy on inflammatory and humoral responses in maternal and fetal samples and compare antibody responses to severe acute respiratory syndrome coronavirus 2 among pregnant and nonpregnant women. Study design: Immune responses to severe acute respiratory syndrome coronavirus 2 were analyzed using samples from pregnant (n=33) and nonpregnant (n=17) women who tested either positive (pregnant, 22; nonpregnant, 17) or negative for severe acute respiratory syndrome coronavirus 2 (pregnant, 11) at Johns Hopkins Hospital. We measured proinflammatory and placental cytokine messenger RNAs, neonatal Fc receptor expression, and tetanus antibody transfer in maternal and cord blood samples. In addition, we evaluated antispike immunoglobulin G, antispike receptor-binding domain immunoglobulin G, and neutralizing antibody responses to severe acute respiratory syndrome coronavirus 2 in serum or plasma collected from nonpregnant women, pregnant women, and cord blood. Results: Pregnant women with laboratory-confirmed severe acute respiratory syndrome coronavirus 2 infection expressed more interleukin-1 beta, but not interleukin 6, in blood samples collected within 14 days vs >14 days after performing severe acute respiratory syndrome coronavirus 2 test. Pregnant women with laboratory-confirmed severe acute respiratory syndrome coronavirus 2 infection also had reduced antispike receptor-binding domain immunoglobulin G titers and were less likely to have detectable neutralizing antibody than nonpregnant women. Although severe acute respiratory syndrome coronavirus 2 infection did not disrupt neonatal Fc receptor expression in the placenta, maternal transfer of severe acute respiratory syndrome coronavirus 2 neutralizing antibody was inhibited by infection during pregnancy. Conclusion: Severe acute respiratory syndrome coronavirus 2 infection during pregnancy was characterized by placental inflammation and reduced antiviral antibody responses, which may impact the efficacy of coronavirus disease 2019 treatment in pregnancy. In addition, the long-term implications of placental inflammation for neonatal health require greater consideration.",,Antibody | COVID-19 | cytokine | maternal infection | pregnancy | SARS-CoV-2,Johns Hopkins University,Years,21-Apr-2020,"Proinflammatory and placental cytokine messenger RNAs, neonatal Fc receptor expression, tetanus antibody transfer in maternal and cord blood samples and antispike IgG, RBD IgG, neutralizing antibody responses to SARS-CoV-2 infection.",Clinical Research,50,18,48
13,PMID34951746_study-01,A third dose of SARS-CoV-2 vaccine increases neutralizing antibodies against variants of concern in solid organ transplant recipients,A third dose of SARS-CoV-2 vaccine increases neutralizing antibodies against variants of concern in solid organ transplant recipients,To assess whether a third dose of SARS-CoV-2 vaccine in solid organ transplant recipients (SOTRs) would improve the SARS-CoV-2-specific neutralizing response against more transmissible variants of concern (VOCs).,"Vaccine-induced SARS-CoV-2 antibody responses are attenuated in solid organ transplant recipients (SOTRs) and breakthrough infections are more common. Additional SARS-CoV-2 vaccine doses increase anti-spike IgG in some SOTRs, but it is uncertain whether neutralization of variants of concern (VOCs) is enhanced. We tested 47 SOTRs for clinical and research anti-spike IgG, pseudoneutralization (ACE2 blocking), and live-virus neutralization (nAb) against VOCs before and after a third SARS-CoV-2 vaccine dose (70% mRNA, 30% Ad26.COV2.S) with comparison to 15 healthy controls after two mRNA vaccine doses. We used correlation analysis to compare anti-spike IgG assays and focused on thresholds associated with neutralization. A third SARS-CoV-2 vaccine dose increased median total anti-spike (1.6-fold), pseudoneutralization against VOCs (2.5-fold vs. Delta), and neutralizing antibodies (1.4-fold against Delta). However, neutralization activity was significantly lower than healthy controls (p < .001); 32% of SOTRs had zero detectable nAb against Delta after third vaccination compared to 100% for controls. Correlation with nAb was seen at anti-spike IgG >4 Log10 (AU/ml) on the Euroimmun ELISA and >4 Log10 (AU/ml) on the MSD research assay. These findings highlight benefits of a third vaccine dose for some SOTRs and the need for alternative strategies to improve protection in a significant subset of this population.","Johnson & Johnson COVID-19 vaccine, Pfizer BioNTech COVID-19 vaccine, Moderna COVID-19 vaccine",Basic (laboratory) research/science | immunobiology | infection and infectious agents – viral | infectious disease | SARS-CoV-2/COVID-19 | solid organ transplantation | translational research/ science | vaccine,Johns Hopkins University,Years,01-Dec-2020,"Percent ACE2 inhibition, SARS-CoV-2-specific IgG and neutralizing activity",Clinical Research,62,20,79
14,PMID37264688_study-01,SARS-CoV-2 IgG Spike antibody levels and avidity in natural infection or following vaccination with mRNA-1273 or BNT162b2 vaccines,SARS-CoV-2 IgG Spike antibody levels and avidity in natural infection or following vaccination with mRNA-1273 or BNT162b2 vaccines,To evaluate and compare avidity following natural infection or mRNA vaccination of healthy individuals,"Certain aspects of the immunogenicity and effectiveness of the messenger ribonucleic acid (mRNA) vaccines (mRNA-1273 and BNT162b2) developed in response to the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) pandemic are still uncharacterized. Serum or plasma samples from healthy donor recipients of either vaccine (BNT162b2 n = 53, mRNA-1273 n = 49; age 23-67), and individuals naturally infected with SARS-CoV-2 (n = 106; age 18-82) were collected 0-2 months post-infection or 1- and 4 months after second dose of vaccination. Anti-Spike antibody levels and avidity were measured via an enzyme-linked immunosorbent assay (ELISA). Overall, vaccination induced higher circulating anti-Spike protein immunoglobulin G (IgG) antibody levels and avidity compared to infection at similar time intervals. Both vaccines produced similar anti-Spike IgG concentrations at 1 month, while mRNA-1273 demonstrated significantly higher circulating antibody concentrations after 4 months. mRNA-1273 induced significantly higher avidity at month 1 compared to BNT162b2 across all age groups. However, the 23-34 age group was the only group to maintain statistical significance by 4 months. Male BNT162b2 recipients were approaching statistically significant lower anti-Spike IgG avidity compared to females by month 4. These findings demonstrate enhanced anti-Spike IgG levels and avidity following vaccination compared to natural infection. In addition, the mRNA-1273 vaccine induced higher antibody levels by 4 months compared to BNT162b2.","Pfizer BioNTech COVID-19 vaccine, Moderna COVID-19 vaccine",Avidity | IgG | SARS-CoV-2 | Spike | infection | serology | vaccines,Frederick National Laboratory For Cancer Research,Years,,Not Applicable,Clinical Research,208,21,82
15,PMID34862384_study-01,Directed evolution of and structural insights into antibody-mediated disruption of a stable receptor-ligand complex,Directed evolution of and structural insights into antibody-mediated disruption of a stable receptor-ligand complex,"To investigate and engineer the weak disruptive activity of an existing therapeutic antibody, omalizumab, which targets IgE antibodies to block the allergic response.","Antibody drugs exert therapeutic effects via a range of mechanisms, including competitive inhibition, allosteric modulation, and immune effector mechanisms. Facilitated dissociation is an additional mechanism where antibody-mediated ""disruption"" of stable high-affinity macromolecular complexes can potentially enhance therapeutic efficacy. However, this mechanism is not well understood or utilized therapeutically. Here, we investigate and engineer the weak disruptive activity of an existing therapeutic antibody, omalizumab, which targets IgE antibodies to block the allergic response. We develop a yeast display approach to select for and engineer antibody disruptive efficiency and generate potent omalizumab variants that dissociate receptor-bound IgE. We determine a low resolution cryo-EM structure of a transient disruption intermediate containing the IgE-Fc, its partially dissociated receptor and an antibody inhibitor. Our results provide a conceptual framework for engineering disruptive inhibitors for other targets, insights into the failure in clinical trials of the previous high affinity omalizumab HAE variant and anti-IgE antibodies that safely and rapidly disarm allergic effector cells.",,Animals | Cell Membrane | Cryoelectron Microscopy | Crystallography | X-Ray | Healthy Volunteers | Humans | Immunoglobulin E metabolism | Immunoglobulin E ultrastructure | Ligands | Mice | Omalizumab genetics | Omalizumab pharmacology | Omalizumab therapeutic use | Primary Cell Culture | Protein Engineering | Receptors | IgE metabolism | Receptors | IgE ultrastructure | Sf9 Cells | Spodoptera,Stanford University,Years,,Not Applicable,in silico Model,,0,89
16,PMID36597886_study-01,Circulating Spike Protein Detected in Post-COVID-19 mRNA Vaccine Myocarditis,Circulating Spike Protein Detected in Post-COVID-19 mRNA Vaccine Myocarditis,To understand the immunopathological mechanisms driving postvaccine myocarditis in adolescents or young adults,"Background: Cases of adolescents and young adults developing myocarditis after vaccination with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)-targeted mRNA vaccines have been reported globally, but the underlying immunoprofiles of these individuals have not been described in detail. Methods: From January 2021 through February 2022, we prospectively collected blood from 16 patients who were hospitalized at Massachusetts General for Children or Boston Children's Hospital for myocarditis, presenting with chest pain with elevated cardiac troponin T after SARS-CoV-2 vaccination. We performed extensive antibody profiling, including tests for SARS-CoV-2-specific humoral responses and assessment for autoantibodies or antibodies against the human-relevant virome, SARS-CoV-2-specific T-cell analysis, and cytokine and SARS-CoV-2 antigen profiling. Results were compared with those from 45 healthy, asymptomatic, age-matched vaccinated control subjects. Results: Extensive antibody profiling and T-cell responses in the individuals who developed postvaccine myocarditis were essentially indistinguishable from those of vaccinated control subjects, despite a modest increase in cytokine production. A notable finding was that markedly elevated levels of full-length spike protein (33.9±22.4 pg/mL), unbound by antibodies, were detected in the plasma of individuals with postvaccine myocarditis, whereas no free spike was detected in asymptomatic vaccinated control subjects (unpaired t test; P<0.0001). Conclusions: Immunoprofiling of vaccinated adolescents and young adults revealed that the mRNA vaccine-induced immune responses did not differ between individuals who developed myocarditis and individuals who did not. However, free spike antigen was detected in the blood of adolescents and young adults who developed post-mRNA vaccine myocarditis, advancing insight into its potential underlying cause.","Moderna COVID-19 vaccine, Pfizer BioNTech COVID-19 vaccine",COVID-19 | mRNA | myocarditis | SARS-CoV-2 | vaccine | Antibody-dependent complement deposition (ADCD) assay | Antibody-dependent cellular phagocytosis (ADCP) assay | Antibody-mediated neutrophil phagocytosis (ADNP) assay,"Ragon Institute of Mgh, Mit And Harvard",Years,01-Jan-2021,"Antibody profiling, T-cell responses, cytokine production and neutralization titers",Clinical Research,71,12,21
17,PMID35102312_study-01,Vaccines elicit highly conserved cellular immunity to SARS-CoV-2 Omicron,Vaccines elicit highly conserved cellular immunity to SARS-CoV-2 Omicron,To evaluate the cross-reactivity of vaccine-elicited cellular immune responses against the SARS-CoV-2 Omicron variant.,"The highly mutated SARS-CoV-2 Omicron (B.1.1.529) variant has been shown to evade a substantial fraction of neutralizing antibody responses elicited by current vaccines that encode the WA1/2020 spike protein1. Cellular immune responses, particularly CD8+ T cell responses, probably contribute to protection against severe SARS-CoV-2 infection2-6. Here we show that cellular immunity induced by current vaccines against SARS-CoV-2 is highly conserved to the SARS-CoV-2 Omicron spike protein. Individuals who received the Ad26.COV2.S or BNT162b2 vaccines demonstrated durable spike-specific CD8+ and CD4+ T cell responses, which showed extensive cross-reactivity against both the Delta and the Omicron variants, including in central and effector memory cellular subpopulations. Median Omicron spike-specific CD8+ T cell responses were 82-84% of the WA1/2020 spike-specific CD8+ T cell responses. These data provide immunological context for the observation that current vaccines still show robust protection against severe disease with the SARS-CoV-2 Omicron variant despite the substantially reduced neutralizing antibody responses","Johnson & Johnson COVID-19 vaccine, Pfizer BioNTech COVID-19 vaccine",Vaccines | T cells | Vaccines | SARS-CoV-2,Beth Israel Deaconess Medical Center - Harvard Medical School,Years,,"humoral response to Nab, RBD binding antibodies, CD8+ and CD4+ T cell responses",Clinical Research,47,22,67
18,PMID36208629_study-01,Longitudinal characterization of circulating neutrophils uncovers phenotypes associated with severity in hospitalized COVID-19 patients.,Longitudinal characterization of circulating neutrophils uncovers phenotypes associated with severity in hospitalized COVID-19 patients.,To explore the relationship between neutrophil states and disease severity by identifying granulocytic myeloid-derived suppressor cell-like signatures and plasma IgA1-to-IgG1 ratios.,"Mechanisms of neutrophil involvement in severe coronavirus disease 2019 (COVID-19) remain incompletely understood. Here, we collect longitudinal blood samples from 306 hospitalized COVID-19+ patients and 86 controls and perform bulk RNA sequencing of enriched neutrophils, plasma proteomics, and high-throughput antibody profiling to investigate relationships between neutrophil states and disease severity. We identify dynamic switches between six distinct neutrophil subtypes. At days 3 and 7 post-hospitalization, patients with severe disease display a granulocytic myeloid-derived suppressor cell-like gene expression signature, while patients with resolving disease show a neutrophil progenitor-like signature. Humoral responses are identified as potential drivers of neutrophil effector functions, with elevated severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)-specific immunoglobulin G1 (IgG1)-to-IgA1 ratios in plasma of severe patients who survived. In vitro experiments confirm that while patient-derived IgG antibodies induce phagocytosis in healthy donor neutrophils, IgA antibodies predominantly induce neutrophil cell death. Overall, our study demonstrates a dysregulated myelopoietic response in severe COVID-19 and a potential role for IgA-dominant responses contributing to mortality.",,COVID-19 | neutrophil | IgA | G-MDSC | transcriptomics | NETosis | degranulation | SARS-CoV-2 | Antibody-mediated neutrophil phagocytosis (ADNP) assay,"Ragon Institute of Mgh, Mit And Harvard",Years,01-Mar-2020,Clinical status and outcomes resulting from the SARS-CoV-2 viral infection and hospitalization,Clinical Research,392,18,80
19,PMID37863065_study-01,Longitudinal nucleocapsid antibody testing reveals undocumented SARS-CoV-2 infections in patients with lung cancer,Longitudinal nucleocapsid antibody testing reveals undocumented SARS-CoV-2 infections in patients with lung cancer,To evaluate the extent of SARS-CoV-2 breakthrough infections in lung cancer patients by nucleocapsid antibody testing.,"Patients diagnosed with lung cancer (LC) exhibit increased susceptibility to SARS-CoV-2 infection. Rodilla et al. monitor the levels of plasma anti-nucleocapsid antibodies within a cohort of fully vaccinated LC patients and reveal that the actual infection rate is nearly twice the documented rate, indicating a significant prevalence of unreported cases.","Johnson & Johnson COVID-19 vaccine, Moderna COVID-19 vaccine, Pfizer BioNTech COVID-19 vaccine",COVID-19 Testing | COVID-19 | Humans | Immunologic Tests | Lung Neoplasms | Nucleocapsid | SARS-CoV-2,Icahn School of Medicine at Mount Sinai,Years,01-Jan-2021,Anti-N and anti-S antibody kinetics,Clinical Research,175,32,100
20,PMID36192374_study-01,IgG-like bispecific antibodies with potent and synergistic neutralization against circulating SARS-CoV-2 variants of concern,IgG-like bispecific antibodies with potent and synergistic neutralization against circulating SARS-CoV-2 variants of concern,To investigate the evidence for therapeutic efficacy of the bispecific antibodies scFv-Fc Ab 2-7/Ab 12 which serves as a foundation for the future development of broadly reactive bispecific antibodies against emerging variants of concern.,"Monoclonal antibodies are a promising approach to treat COVID-19, however the emergence of SARS-CoV-2 variants has challenged the efficacy and future of these therapies. Antibody cocktails are being employed to mitigate these challenges, but neutralization escape remains a major challenge and alternative strategies are needed. Here we present two anti-SARS-CoV-2 spike binding antibodies, one Class 1 and one Class 4, selected from our non-immune human single-chain variable fragment (scFv) phage library, that are engineered into four, fully-human IgG-like bispecific antibodies (BsAb). Prophylaxis of hACE2 mice and post-infection treatment of golden hamsters demonstrates the efficacy of the monospecific antibodies against the original Wuhan strain, while promising in vitro results with the BsAbs demonstrate enhanced binding and distinct synergistic effects on neutralizing activity against circulating variants of concern. In particular, one BsAb engineered in a tandem scFv-Fc configuration shows synergistic neutralization activity against several variants of concern including B.1.617.2. This work provides evidence that synergistic neutralization can be achieved using a BsAb scaffold, and serves as a foundation for the future development of broadly reactive BsAbs against emerging variants of concern.",,Infectious diseases | Antibody therapy | Cryoelectron microscopy | SARS-CoV-2,University of North Carolina at Chapel Hill,Years,,Not Applicable,Preclinical Study,,0,89
21,PMID37695910_study-01,Targeting spike glycans to inhibit SARS-CoV2 viral entry,Targeting spike glycans to inhibit SARS-CoV2 viral entry,To demonstrate the effectiveness of Burkholderia oklahomensis agglutinin (BOA) in the inhibition of SARS- CoV-2 viral entry.,"SARS-CoV-2 spike harbors glycans which function as ligands for lectins. Therefore, it should be possible to exploit lectins to target SARS-CoV-2 and inhibit cellular entry by binding glycans on the spike protein. Burkholderia oklahomensis agglutinin (BOA) is an antiviral lectin that interacts with viral glycoproteins via N-linked high mannose glycans. Here, we show that BOA binds to the spike protein and is a potent inhibitor of SARS-CoV-2 viral entry at nanomolar concentrations. Using a variety of biophysical approaches, we demonstrate that the interaction is avidity driven and that BOA cross-links the spike protein into soluble aggregates. Furthermore, using virus neutralization assays, we demonstrate that BOA effectively inhibits all tested variants of concern as well as SARS-CoV 2003, establishing that multivalent glycan-targeting molecules have the potential to act as pan-coronavirus inhibitors.",,SARS-CoV-2 | glycan shield | lectins,University of North Carolina at Chapel Hill,Years,,Not Applicable,Basic Research,,0,89
