,Column Name,Subject ID,Arm Or Cohort ID,Gender,Min Subject Age,Max Subject Age,Age Unit,Age Event,Age Event Specify,Subject Phenotype,Subject Location,Species,Strain,Strain Characteristics,Result Separator Column,Exposure Process Reported,Exposure Material Reported,Exposure Material ID,Disease Reported,Disease Ontology ID,Disease Stage Reported
10,-,PMID33688034_organism_subject-04,PMID33688034_organism_subject-05,Other,0,89,Years,Age at enrollment,-,-,US: Ohio,Sigmodon hispidus,Animal,-,-,unknown,other,other,Covid-19 | SARS-CoV-2 Wuhan/2020,-,-
11,-,PMID33688034_organism_subject-05,PMID33688034_organism_subject-06,Other,0,89,Years,Age at enrollment,-,-,US: Ohio,Sigmodon hispidus,Animal,-,-,unknown,other,other,Covid-19 | SARS-CoV-2 Wuhan/2020,-,-
12,-,PMID33688034_organism_subject-06,PMID33688034_organism_subject-07,Other,0,89,Years,Age at enrollment,-,-,US: Ohio,Sigmodon hispidus,Animal,-,-,unknown,other,other,Covid-19 | SARS-CoV-2 Wuhan/2020,-,-
13,-,PMID33688034_organism_subject-07,PMID33688034_organism_subject-08,Other,0,89,Years,Age at enrollment,-,-,US: Ohio,Sigmodon hispidus,Animal,-,-,unknown,other,other,Covid-19 | SARS-CoV-2 Wuhan/2020,-,-
14,-,PMID33688034_organism_subject-08,PMID33688034_organism_subject-09,Female,0,89,Years,Age at enrollment,-,-,US: Ohio,Mus musculus,Animal,-,-,unknown,other,other,Covid-19 | SARS-CoV-2 Wuhan/2020,-,-
15,-,PMID33688034_organism_subject-09,PMID33688034_organism_subject-10,Female,0,89,Years,Age at enrollment,-,-,US: Ohio,Mus musculus,Animal,-,-,unknown,other,other,Covid-19 | SARS-CoV-2 Wuhan/2020,-,-
16,-,PMID33688034_organism_subject-010,PMID33688034_organism_subject-11,Female,0,89,Years,Age at enrollment,-,-,US: Ohio,Mus musculus,Animal,-,-,unknown,other,other,Covid-19 | SARS-CoV-2 Wuhan/2020,-,-
17,-,PMID33688034_organism_subject-011,PMID33688034_organism_subject-12,Female,0,89,Years,Age at enrollment,-,-,US: Ohio,Mus musculus,Animal,-,-,unknown,other,other,Covid-19 | SARS-CoV-2 Wuhan/2020,-,-
18,-,PMID33688034_organism_subject-012,PMID33688034_organism_subject-13,Female,0,89,Years,Age at enrollment,-,-,US: Ohio,Mus musculus,Animal,-,-,unknown,other,other,Covid-19 | SARS-CoV-2 Wuhan/2020,-,-
19,-,PMID33688034_organism_subject-013,PMID33688034_organism_subject-14,Female,0,89,Years,Age at enrollment,-,-,US: Ohio,Mus musculus,Animal,-,-,unknown,other,other,Covid-19 | SARS-CoV-2 Wuhan/2020,-,-
20,-,PMID33688034_organism_subject-014,PMID33688034_organism_subject-15,Female,0,89,Years,Age at enrollment,-,-,US: Ohio,Mus musculus,Animal,-,-,unknown,other,other,Covid-19 | SARS-CoV-2 Wuhan/2020,-,-
21,-,PMID33688034_organism_subject-015,PMID33688034_organism_subject-16,Female,0,89,Years,Age at enrollment,-,-,US: Ohio,Mesocricetus auratus,Animal,-,-,unknown,other,other,Covid-19 | SARS-CoV-2 Wuhan/2020,-,-
22,-,PMID33688034_organism_subject-016,PMID33688034_organism_subject-17,Female,0,89,Years,Age at enrollment,-,-,US: Ohio,Mesocricetus auratus,Animal,-,-,unknown,other,other,Covid-19 | SARS-CoV-2 Wuhan/2020,-,-
23,-,PMID33688034_organism_subject-017,PMID33688034_organism_subject-18,Female,0,89,Years,Age at enrollment,-,-,US: Ohio,Mesocricetus auratus,Animal,-,-,unknown,other,other,Covid-19 | SARS-CoV-2 Wuhan/2020,-,-
24,-,PMID33688034_organism_subject-018,PMID33688034_organism_subject-19,Female,0,89,Years,Age at enrollment,-,-,US: Ohio,Mesocricetus auratus,Animal,-,-,unknown,other,other,Covid-19 | SARS-CoV-2 Wuhan/2020,-,-
25,-,PMID34150933_organism_subject-01,PMID34150933_organism_subject-01,Not Specified,0,89,Years,Not Specified,-,-,US: North Carolina,Homo sapiens,Cell Line,-,-,unknown,-,-,Covid-19 ,-,-
26,-,PMID34308390_organism_subject-01,PMID34308390_organism_subject-01,Female,18,77,Years,Not Specified,-,-,US: New York,Mesocricetus auratus,Animal,-,-,unknown,-,-,Covid-19 | SARS-CoV-2 Wuhan/2020 | SARS-CoV-2,-,-
27,-,PMID34308390_organism_subject-02,PMID34308390_organism_subject-02,Female,18,77,Years,Not Specified,-,-,US: New York,Mesocricetus auratus,Animal,-,-,unknown,-,-,Covid-19 | SARS-CoV-2 Wuhan/2020 | SARS-CoV-2,-,-
28,-,PMID34308390_organism_subject-03,PMID34308390_organism_subject-03,Other,18,77,Years,Not Specified,-,-,US: New York,Mesocricetus auratus,Animal,-,-,unknown,-,-,Covid-19 | SARS-CoV-2 Wuhan/2020 | SARS-CoV-2,-,-
29,-,PMID35881005_organism_subject-01,PMID35881005_organism_subject-01,Other,0,89,Years,Not Specified,-,-,US: California,Not specified,Other,-,-,unknown,-,-,Covid-19 | SARS-CoV-2 Wuhan/2020 | SARS-CoV-2,-,-
