,File Name,Description,Study File Type
87,PMID34150933_v1.2.5.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors. ,Study Summary Description
88,PMID34150933_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
89,PMID35090596_mmc1.pdf,"Figures explain analysis of SARS-CoV-2 serostatus of health care workers, analysis of number of symptoms and types of symptoms reported after vaccination",Study Data
90,PMID35090596_Narowski_etal_CellReports_2022_1.xlsx,"Experimental values for ELISA, Neutralizing Antibody Titer Assay and Multiplex Immunoassay",Study Data
91,PMID35090596_Narowski_etal_CellReports_2022_2.xlsx,Subject demographics,Demographics
92,PMID35090596_Narowski_etal_CellReports_2022_3.xls,Vaccine symptoms in subjects,Adverse Events
93,PMID35090596_v1.2.5.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,Study Summary Description
94,PMID35090596_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
95,PMID35932763_mmc1.pdf,"Extended serology data and figures of ELISA, Flow cytometry",Study Data
96,PMID35932763_CCC_ICS.xlsx,Intra cellular staining (ICS) T cell assay values,Study Data
97,PMID35932763_SeroNet-HCoV-serology-data-Sep22-2022.xlsx,ELISA assay values-Serology data,Study Data
98,PMID35932763_Copy of CCC_AIM.xlsx,Activation induced cell marker (AIM) T cell assay values and demographic data,Demographics
99,PMID35932763_v1.2.5.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors. ,Study Summary Description
100,PMID35932763_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
101,PMID35081612_web_material_kwac015.docx,Figures explains about Vaccine efficacy,Study Data
102,PMID35081612_v1.2.6.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors. ,Study Summary Description
103,PMID35081612_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
104,PMID34383889_suppl_supplementary_materials.pdf,"Extended serology data, laboratory analyses includes qRT-PCR, lateral flow immunoassay, ELISA and comorbidities of the study participants,  demographics of household contacts based on infection status",Study Data
105,PMID34383889_Index Cases_SeroNet.xls,"Subject level demographics, assessment results for ELISA, Lateral Flow Assay and RT-PCR for Index cases",Study Data
106,PMID34383889_HouseholdContacts_SeroNet.xls,Subject level demographics for Household contacts,Demographics
107,PMID34383889_v1.2.5.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors.,Study Summary Description
108,PMID34383889_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
109,PMID36058184_mmc1.pdf,"Additional theory, sensitivity analyses, and figures showing the dynamics of different variables in the model  ",Study Data
110,PMID36058184_v1.2.6.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors. ,Study Summary Description
111,PMID36058184_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
112,PMID35576468_sapp.pdf,"Supplementary materials and methods, SARS-CoV-2 infection fatality rates for individuals, and tables containing information on various combinations of auto-Abs neutralizing different concentrations of type I IFNs",Study Data
113,PMID35576468_PNAS_AABS_Manry_data-sharing_final.xlsx,Individual and aggregated demographics and SARS-CoV-2 infection fatality rates,Study Data
114,PMID35576468_v1.2.4.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors. ,Study Summary Description
115,PMID35576468_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
116,PMID34308390_mmc1.pdf,"Supplemental figures and tables containing human demographic information, metabolic profiles. Also contains information on Syrian hamster model selection, and composite clinical scores for the animals.",Study Data
117,PMID34308390_v1.2.6.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,Study Summary Description
118,PMID34308390_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template,JSON Summary Description
119,PMID35881010_science.abp8715_sm.pdf,"Materials and methods, translations and urls for relevant articles and reports, business registry screen shots, geographical information, sample information",Study Data
120,PMID35881010_v1.2.5.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,Study Summary Description
121,PMID35881010_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
122,PMID35881005_science.abp8337_sm.pdf,"Materials and Methods, Figures S1 to S31, Tables S1 to S15 and References 67 – 110",Study Data
123,PMID35881005_science.abp8337_sm_data_s1.tsv,List of GISAID accession ID of near-full-length genomes and metadata ,Study Data
124,PMID35881005_science.abp8337_sm_data_s2.tsv,List of GISAID accession ID of near-full-length genomes and metadata ,Study Data
125,PMID35881005_science.abp8337_sm_data_s3.xlsx,Posterior probabilities of inferred ancestral haplotype at the MRCA of SARS-CoV-2,Study Data
126,PMID35881005_v1.2.5.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,Study Summary Description
127,PMID35881005_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
