,User Defined ID,Name,Description,Type Reported
37,PMID33688034_organism_subject-03,"Group 2 Cotton rats inoculated with PBS, rMeV-S vaccine strain.","Cotton rats  (4 weeks old) subcutaneously inoculated with PBS, 4*105 PFU of rMeV-S vaccine strain and after 4 weeks boosted with  2×106 PFU of rMeV-S (N=5).",Vaccination
38,PMID33688034_organism_subject-04,"Group 3 Cotton rats inoculated with  PBS, rMeV-preS vaccine strain.","Cotton rats  (4 weeks old) subcutaneously inoculated with PBS, 4*105 PFU of rMeV-preS vaccine strain and after 4 weeks boosted with  2×106 PFU of rMeV-preS (N=5).",Vaccination
39,PMID33688034_organism_subject-05,"Group 4 Cotton rats inoculated with PBS, rMeV-S1 vaccine strain.",Cotton rats  (4 weeks old) subcutaneously inoculated with 4*105 PFU of rMeV-S1 vaccine strain and after 4 weeks boosted with  2×106 PFU of rMeV-S1 (N=5).,Vaccination
40,PMID33688034_organism_subject-06,Group 5 Cotton rats inoculated with rMeV-RBD1 vaccine strain.,"Cotton rats  (4 weeks old) subcutaneously inoculated with PBS, 4*105 PFU of rMeV-RBD1 vaccine strain and after 4 weeks boosted with  2×106 PFU of rMeV-RBD1 (N=5).",Vaccination
41,PMID33688034_organism_subject-07,"Group 6 Cotton rats inoculated with PBS, rMeV-RBD2  vaccine strain.","Cotton rats  (4 weeks old) subcutaneously inoculated with PBS, 4*105 PFU of rMeV-RBD2 vaccine strain and after 4 weeks boosted with  2×106 PFU of rMeV-RBD2 (N=5).",Vaccination
42,PMID33688034_organism_subject-08,Group 7 Cotton rats inoculated with rMeV-RBD3  vaccine strain.,Cotton rats  (4 weeks old) subcutaneously inoculated with 4*105 PFU of rMeV-RBD3 vaccine strain and after 4 weeks boosted with  2×106 PFU of rMeV-RBD3 (N=5).,Vaccination
43,PMID33688034_organism_subject-09,Group 1 IFNAR-/- -hCD46 transgenic mice immunized with rMeV,IFNAR-/- -hCD46 transgenic mice (4 weeks old) immunized with 8×105 PFU (half subcutaneous and half intranasal) of parental rMeV and after 2 weeks mice were boosted with 6×105 PFU of rMeV (N= 5 or 6),Vaccination
44,PMID33688034_organism_subject-10,Group 2 IFNAR-/- -hCD46 transgenic mice immunized with rMeV-preS,IFNAR-/- -hCD46 transgenic mice (4 weeks old) immunized with 8×105 PFU (half subcutaneous and half intranasal) of parental rMeV-preS  and after 2 weeks mice were boosted with 6×105 PFU of rMeV-preS (N= 5 or 6),Vaccination
45,PMID33688034_organism_subject-11,Group 3 IFNAR-/- -hCD46 transgenic mice immunized with rMeV-S1,IFNAR-/- -hCD46 transgenic mice (4 weeks old) immunized with 8×105 PFU (half subcutaneous and half intranasal) of parental rMeV-S1 and after 2 weeks mice were boosted with 6×105 PFU of rMeV-S1  (N= 5 or 6),Vaccination
46,PMID33688034_organism_subject-12,Group 4 Normal control group,Group 4 Normal control IFNAR-/- -hCD46 transgenic mice (N= 5 or 6),Healthy Control
47,PMID33688034_organism_subject-13,Group 1 IFNAR-/- mice immunized with rMeV-preS,IFNAR-/-  mice (4 weeks old) immunized with 8×105 PFU (half subcutaneous and half intranasal) of rMeV-preS (N=5 or 6),Vaccination
48,PMID33688034_organism_subject-14,Group 2 IFNAR-/- mice immunized with rMeV-preS and booster,IFNAR-/- mice (4 weeks old) immunized with 8×105 PFU (half subcutaneous and half intranasal) of rMeV-preS and after 4 weeks boosted with 8×105 PFU of rMeV-preS (N=5 or 6),Vaccination
49,PMID33688034_organism_subject-15,Group 3 IFNAR-/- mice immunized with rMeV as controls,IFNAR-/- mice (4 weeks old) immunized with 8×105 PFU (half subcutaneous and half intranasal) of rMeV and served as controls (N= 5 or 6),Vaccination
50,PMID33688034_organism_subject-16,Group 1 Golden Syrian hamsters immunized with rMeV-preS,"Golden Syrian hamsters 4 weeks old, immunized with 8×105 PFU of rMeV-preS (subcutaneous and intranasal routes), after 3 weeks hamsters boosted with rMeV-preS. (N=10)",Vaccination
51,PMID33688034_organism_subject-17,Group 2 Golden Syrian hamsters immunized with rMeV-S1,"Golden Syrian hamsters, 4 weeks old, immunized with 8×105 PFU of rMeV-S1 (subcutaneous and intranasal routes), after 3 weeks hamsters boosted with rMeV-S1. (N=10)",Vaccination
52,PMID33688034_organism_subject-18,Group 3 Golden Syrian hamsters immunized with parental rMeV,"Golden Syrian hamsters, 4 weeks old, immunized with 8×105 PFU of rMeV-S1 (subcutaneous and intranasal routes), after 3 weeks hamsters boosted with rMeV-S1. (N=10)",Vaccination
53,PMID33688034_organism_subject-19,Group 4 Golden Syrian hamsters received PBS,Golden Syrian hamsters inoculated with DMEM and served as unimmunized unchallenged controls (n=10),Vaccination
54,PMID35756977_human_subject-01,Persons with SARS-CoV-2 infection during Omicron variant period,"Individuals infected by SARS-CoV-2 Omicron variant (N= 48,101)",Observational
55,PMID35756977_human_subject-02,Persons with SARS-CoV-2 infection during Delta variant period,"Individuals infected by  SARS-CoV-2 Delta variant (N= 69,977)",Observational
56,PMID34150933_organism_subject-01,Mammalian cells (Expi293 cells),Expression and purification of properly folded RBD proteins from SARS and common-cold HCoVs in mammalian cells,Experimental Arm
57,PMID35090596_human_subject-01,Health care workers,Health care workers (N=237). 161 of 237 participants received Pfizer-BioNTech mRNA vaccine (BNT162b2) and 7 participants received Moderna mRNA-1273 vaccine. 26 of 237 participants had mild SARS-CoV-2 infection,Vaccination
58,PMID35932763_human_subject-01,Donors from Bordetella Pertussis observational study,Donors from Bordetella Pertussis observational study (N=32),Observational
59,PMID35081612_human_subject-01,Network model simulation,"Network model simulation (N=20,000)",Observational
60,PMID34383889_human_subject-01,Index Cases,Covid-19 positive Index cases were enrolled in the study (N=91),Observational
61,PMID34383889_human_subject-02,Household Contacts,"Household contacts of the Index cases (N=176), 73 of 176 participants with Covid-19 infection",Observational
62,PMID36058184_human_subject-01,CNS and BBC pandemic model,"Participants are from two primary sources of pre-pandemic period: the BBC Pandemic study (BBC) and the Copenhagen Networks Study (CNS) (N=113,253‬)",No Intervention Arm
63,PMID35576468_human_subject-01,Deceased parients,"Patients who died from COVID-19 (n=1,261)",Observational
64,PMID35576468_human_subject-02,Control subjects,"Individuals from the general population whose samples were collected before the pandemic (N=34,159)",Observational
65,PMID34308390_human_subject-01,Patients with SARS-CoV-2 positive,Humans with PCR positive SARS-CoV-2 results (n = 272),Experimental Arm
66,PMID34308390_human_subject-02,Patients with SARS-CoV-2 negative,Humans with PCR negative SARS-CoV-2 results (n = 67),Experimental Arm
67,PMID34308390_organism_subject-01,Syrian hamster: SARS-CoV-2 positive,Syrian hamster infected through intranasal inoculation of SARS-CoV-2 (n = 3–6 per group) ,Experimental Arm
68,PMID34308390_organism_subject-02,Syrian hamster: Influenza Positive,Syrian hamster infected through intranasal inoculation of influenza virus(n = 3–6 per group) ,Experimental Arm
69,PMID34308390_organism_subject-03,Syrian hamster: Mock infection,Syrian hamster infected through intranasal inoculation of saline solution (mock) (n = 3–6 per group) ,Experimental Arm
70,PMID35881010_human_subject-01,People infected with Covid-19,People part of the initial outbreak of COVID-19,Observational
71,PMID35881005_organism_subject-01,High-coverage SARS-CoV-2 genomes,"Complete high-coverage SARS-CoV-2 genomes collected from GISAID database, GenBank, and National Genomics Data Center of the China National Center for Bioinformatics (CNCB)",No Intervention Arm
