	REAGENT_ACCESSION	ANALYTE_PREFERRED	ANALYTE_REPORTED	ANTIBODY_REGISTRY_ID	CATALOG_NUMBER	CLONE_NAME	CONTACT	DESCRIPTION	IS_SET	LOT_NUMBER	MANUFACTURER	NAME	REPORTER_NAME	TYPE	UPLOAD_TICKET_NUMBER	USER_DEFINED_ID	WEBLINK	WORKSPACE_ID	DATE_CREATED	CREATED_BY	DATE_LAST_UPDATED	LAST_UPDATED_BY
38	ESR26242							Spike SARS-CoV-2 pseudotyped lentiviral neutralization assays	Y			CoV2-Lenti  pseudovirus neutralization assay		Virus Neutralization	Zhiping.gu_20210426_28532	33288645_neutralization		6661	2021-04-26 15:20:05.0	Zhiping.gu	2021-04-26 15:20:05.0	Zhiping.gu
39	ESR29451								N			Receptor Binding Domain (RBD) | Full Length Spike Trimer		Other	aleliu_20220524_32503	PMID34652783_study_reagent-01		6661	2022-05-24 13:40:11.0	aleliu	2022-05-24 13:40:11.0	aleliu
40	ESR29452							FDA EUA	N			Receptor Binding Domain (RBD) | S2		Other	aleliu_20220524_32504	PMID34696403_reagent-01		6661	2022-05-24 13:40:18.0	aleliu	2022-05-24 13:40:18.0	aleliu
41	ESR29453							FDA EUA	N			Receptor Binding Domain (RBD) | S2		Other	aleliu_20220524_32504	PMID34696403_reagent-02		6661	2022-05-24 13:40:18.0	aleliu	2022-05-24 13:40:18.0	aleliu
42	ESR29454								N			Receptor Binding Domain (RBD)		Other	aleliu_20220524_32505	PMID34095338_reagent-01		6661	2022-05-24 13:40:20.0	aleliu	2022-05-24 13:40:20.0	aleliu
43	ESR29455								N			Receptor Binding Domain (RBD)		Other	aleliu_20220524_32506	PMID33276369_reagent-01		6661	2022-05-24 13:50:11.0	aleliu	2022-05-24 13:50:11.0	aleliu
44	ESR29456								N			Receptor Binding Domain (RBD)		Other	aleliu_20220524_32507	PMID34161961_reagent-01		6661	2022-05-24 13:50:13.0	aleliu	2022-05-24 13:50:13.0	aleliu
45	ESR29457								N		Sino Biological	Receptor Binding Domain (RBD)		Other	aleliu_20220524_32512	PMID34794169_reagent-01		6661	2022-05-24 14:10:11.0	aleliu	2022-05-24 14:10:11.0	aleliu
46	ESR29458								N					Other	aleliu_20220524_32519	PMID33622794_reagent-01		6661	2022-05-24 14:20:12.0	aleliu	2022-05-24 14:20:12.0	aleliu
47	ESR29459								N			Receptor Binding Domain (RBD)		Other	aleliu_20220524_32524	PMID35132398_reagent-01		6661	2022-05-24 14:25:12.0	aleliu	2022-05-24 14:25:12.0	aleliu
48	ESR29460								N			S1		Other	aleliu_20220524_32528	PMID34151306_reagent-01		6661	2022-05-24 14:25:16.0	aleliu	2022-05-24 14:25:16.0	aleliu
49	ESR29461								N			S2		Other	aleliu_20220524_32528	PMID34151306_reagent-02		6661	2022-05-24 14:25:16.0	aleliu	2022-05-24 14:25:16.0	aleliu
50	ESR29462								N			Nucleocapsid		Other	aleliu_20220524_32528	PMID34151306_reagent-03		6661	2022-05-24 14:25:16.0	aleliu	2022-05-24 14:25:16.0	aleliu
51	ESR29463								N			Receptor Binding Domain (RBD)		Other	aleliu_20220524_32528	PMID34151306_reagent-04		6661	2022-05-24 14:25:16.0	aleliu	2022-05-24 14:25:16.0	aleliu
52	ESR29464								N			S1		Other	aleliu_20220524_32528	PMID34151306_reagent-05		6661	2022-05-24 14:25:16.0	aleliu	2022-05-24 14:25:16.0	aleliu
53	ESR29465								N			S2		Other	aleliu_20220524_32528	PMID34151306_reagent-06		6661	2022-05-24 14:25:16.0	aleliu	2022-05-24 14:25:16.0	aleliu
54	ESR29466								N			Nucleocapsid		Other	aleliu_20220524_32528	PMID34151306_reagent-07		6661	2022-05-24 14:25:16.0	aleliu	2022-05-24 14:25:16.0	aleliu
55	ESR29467								N			Receptor Binding Domain (RBD)		Other	aleliu_20220524_32528	PMID34151306_reagent-08		6661	2022-05-24 14:25:16.0	aleliu	2022-05-24 14:25:16.0	aleliu
56	ESR29468								N			S1		Other	aleliu_20220524_32528	PMID34151306_reagent-09		6661	2022-05-24 14:25:16.0	aleliu	2022-05-24 14:25:16.0	aleliu
57	ESR29469								N			S2		Other	aleliu_20220524_32528	PMID34151306_reagent-010		6661	2022-05-24 14:25:16.0	aleliu	2022-05-24 14:25:16.0	aleliu
58	ESR29470								N			Nucleocapsid		Other	aleliu_20220524_32528	PMID34151306_reagent-011		6661	2022-05-24 14:25:16.0	aleliu	2022-05-24 14:25:16.0	aleliu
59	ESR29471								N			Receptor Binding Domain (RBD)		Other	aleliu_20220524_32528	PMID34151306_reagent-012		6661	2022-05-24 14:25:16.0	aleliu	2022-05-24 14:25:16.0	aleliu
60	ESR29482							FDA EUA	N		Abbott Diagnostics	S1		Other	aleliu_20220524_32539	PMID34759001_study_reagent-01		6661	2022-05-24 16:05:12.0	aleliu	2022-05-24 16:05:12.0	aleliu
61	ESR29483							FDA EUA	N		Abbott Diagnostics	N-terminal Domain (NTD)		Other	aleliu_20220524_32539	PMID34759001_study_reagent-02		6661	2022-05-24 16:05:12.0	aleliu	2022-05-24 16:05:12.0	aleliu
62	ESR29486							FDA EUA	N			Full Length Spike Trimer		Other	aleliu_20220526_32585	PMID33142304_reagent-01		6661	2022-05-26 11:35:11.0	aleliu	2022-05-26 11:35:11.0	aleliu
63	ESR29487								N			Receptor Binding Domain (RBD)		Other	aleliu_20220526_32589	PMID33993265_reagent-01		6661	2022-05-26 11:45:11.0	aleliu	2022-05-26 11:45:11.0	aleliu
64	ESR29488								N		Luminex	Full Length Spike Trimer		Other	aleliu_20220526_32589	PMID33993265_reagent-02		6661	2022-05-26 11:45:11.0	aleliu	2022-05-26 11:45:11.0	aleliu
65	ESR29489								N			S1		Other	aleliu_20220526_32622	PMID34100011_reagent-01		6661	2022-05-26 14:05:11.0	aleliu	2022-05-26 14:05:11.0	aleliu
66	ESR29490								N					Other	aleliu_20220526_32653	PMIDXXX_reagent-01		6661	2022-05-26 16:25:12.0	aleliu	2022-05-26 16:25:12.0	aleliu
67	ESR29491								N			Receptor Binding Domain (RBD)		Other	aleliu_20220526_32675	PMID33169014_reagent-01		6661	2022-05-26 18:00:13.0	aleliu	2022-05-26 18:00:13.0	aleliu
68	ESR29492								N			Receptor Binding Domain (RBD)		Other	aleliu_20220526_32682	PMID33571162_reagent-01		6661	2022-05-26 18:20:12.0	aleliu	2022-05-26 18:20:12.0	aleliu
69	ESR29493								N			Full Length Spike Trimer		Other	aleliu_20220527_32699	PMID34452006_reagent-01		6661	2022-05-27 11:00:12.0	aleliu	2022-05-27 11:00:12.0	aleliu
70	ESR29494								N			Receptor Binding Domain (RBD)		Other	aleliu_20220527_32717	PMID34730254_reagent-01		6661	2022-05-27 13:25:11.0	aleliu	2022-05-27 13:25:11.0	aleliu
71	ESR29495								N			Full Length Spike Trimer | Receptor Binding Domain (RBD)  |  N-terminal Domain (NTD) | S1 | S2		Other	aleliu_20220527_32725	PMID34145263_study_reagent-01		6661	2022-05-27 13:45:12.0	aleliu	2022-05-27 13:45:12.0	aleliu
72	ESR29443								N			Receptor Binding Domain (RBD)		Other	aleliu_20220516_32282	PMID34230917_reagent-01		6661	2022-05-16 09:35:11.0	aleliu	2022-05-16 09:35:11.0	aleliu
73	ESR29444								N					Other	aleliu_20220516_32283	PMID33846272_reagent-01		6661	2022-05-16 09:40:11.0	aleliu	2022-05-16 09:40:11.0	aleliu
74	ESR29450								N					Other	aleliu_20220518_32323	PMID34877479_reagent-01		6661	2022-05-18 15:50:12.0	aleliu	2022-05-18 15:50:12.0	aleliu
75	ESR29516								N			Receptor Binding Domain (RBD)		Other	aleliu_20220616_32930	PMID34835131_reagent-01		6661	2022-06-16 17:04:15.0	aleliu	2022-06-16 17:04:15.0	aleliu
